"seqnames"	"start"	"end"	"width"	"strand"	"V4"	"V5"	"V6"	"V7"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"distanceToTSS"
"chr2"	1594394	1594622	229	"*"	215	"SRX7054619"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153669
"chr2"	1594395	1594588	194	"*"	131	"SRX7054616"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153703
"chr2"	1594399	1594665	267	"*"	536	"SRX096362"	"Epitope tags"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153626
"chr2"	1594411	1594596	186	"*"	101	"SRX150664"	"FOS"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153695
"chr2"	1594423	1594626	204	"*"	281	"SRX5527658"	"ERG"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153665
"chr2"	1594423	1594655	233	"*"	275	"SRX096360"	"Epitope tags"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153636
"chr2"	1594425	1594638	214	"*"	496	"SRX3601960"	"FLI1"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153653
"chr2"	1594425	1594643	219	"*"	697	"SRX3601958"	"ERG"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153648
"chr2"	1594435	1594620	186	"*"	110	"SRX7054671"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153671
"chr2"	1594441	1594611	171	"*"	118	"SRX2207671"	"RELA"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153680
"chr2"	1594442	1594651	210	"*"	308	"SRX3601957"	"ERG"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153640
"chr2"	1594463	1594622	160	"*"	114	"SRX7054940"	"ERG"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153669
"chr2"	1594483	1594934	452	"*"	158	"SRX3040158"	"SMC1A"	"Coronary artery endothelial cells"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153357
"chr2"	1594532	1594755	224	"*"	133	"SRX070877"	"GATA2"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153536
"chr2"	1594544	1594774	231	"*"	170	"SRX150427"	"GATA2"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153517
"chr2"	1594618	1594720	103	"*"	161	"SRX150651"	"MAX"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153571
"chr2"	1594751	1594887	137	"*"	146	"SRX3040156"	"STAG1"	"Coronary artery endothelial cells"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	153404
"chr2"	1595270	1595386	117	"*"	89	"SRX3601960"	"FLI1"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152905
"chr2"	1595274	1595381	108	"*"	135	"SRX3601958"	"ERG"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152910
"chr2"	1595608	1596152	545	"*"	1000	"SRX3040158"	"SMC1A"	"Coronary artery endothelial cells"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152139
"chr2"	1595651	1596015	365	"*"	590	"SRX038602"	"CTCF"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152276
"chr2"	1595671	1596026	356	"*"	864	"SRX067467"	"CTCF"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152265
"chr2"	1595686	1596079	394	"*"	631	"SRX199885"	"CTCF"	"HCM"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152212
"chr2"	1595689	1596091	403	"*"	1000	"SRX199905"	"CTCF"	"HCM"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152200
"chr2"	1595691	1596100	410	"*"	1000	"SRX080344"	"CTCF"	"HPAF"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152191
"chr2"	1595697	1596101	405	"*"	1000	"SRX3040156"	"STAG1"	"Coronary artery endothelial cells"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152190
"chr2"	1595723	1596081	359	"*"	1000	"SRX2559014"	"RAD21"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152210
"chr2"	1595726	1596057	332	"*"	1000	"SRX080395"	"CTCF"	"HCFaa"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152234
"chr2"	1595728	1596041	314	"*"	1000	"SRX080406"	"CTCF"	"HBMEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152250
"chr2"	1595732	1595986	255	"*"	411	"SRX038603"	"CTCF"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152305
"chr2"	1595737	1596048	312	"*"	1000	"SRX3040157"	"STAG2"	"Coronary artery endothelial cells"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152243
"chr2"	1595740	1596041	302	"*"	1000	"SRX080414"	"CTCF"	"HPAF"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152250
"chr2"	1595741	1596017	277	"*"	720	"SRX080373"	"CTCF"	"HBMEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152274
"chr2"	1595749	1596008	260	"*"	660	"SRX2559012"	"RAD21"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152283
"chr2"	1595751	1595991	241	"*"	1000	"SRX2559013"	"RAD21"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152300
"chr2"	1595751	1596020	270	"*"	956	"SRX080337"	"CTCF"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152271
"chr2"	1595752	1595976	225	"*"	1000	"SRX031246"	"CTCF"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152315
"chr2"	1595752	1595976	225	"*"	1000	"SRX102980"	"CTCF"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152315
"chr2"	1595752	1596020	269	"*"	791	"SRX080412"	"CTCF"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152271
"chr2"	1595754	1595979	226	"*"	654	"SRX080329"	"CTCF"	"AoAF"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152312
"chr2"	1595763	1596022	260	"*"	138	"SRX7054664"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152269
"chr2"	1595770	1595960	191	"*"	451	"SRX2559011"	"RAD21"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152331
"chr2"	1595771	1595955	185	"*"	329	"SRX2355058"	"ERG"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152336
"chr2"	1595774	1595996	223	"*"	271	"SRX080399"	"CTCF"	"AoAF"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152295
"chr2"	1595786	1595910	125	"*"	129	"SRX2355081"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152381
"chr2"	1595788	1595976	189	"*"	229	"SRX2207672"	"RELA"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152315
"chr2"	1595794	1595924	131	"*"	173	"SRX150651"	"MAX"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152367
"chr2"	1595808	1595985	178	"*"	242	"SRX2355085"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152306
"chr2"	1595808	1596189	382	"*"	160	"SRX7054666"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152102
"chr2"	1595810	1595959	150	"*"	112	"SRX189743"	"ETS1"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152332
"chr2"	1595810	1595959	150	"*"	111	"SRX2452430"	"ETS1"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152332
"chr2"	1595810	1595959	150	"*"	111	"SRX3599295"	"ETS1"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152332
"chr2"	1595813	1595923	111	"*"	94	"SRX2355059"	"ERG"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152368
"chr2"	1595816	1595960	145	"*"	194	"SRX2734391"	"ERG"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152331
"chr2"	1595826	1596233	408	"*"	220	"SRX7054614"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152058
"chr2"	1595829	1595948	120	"*"	148	"SRX2355078"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152343
"chr2"	1595830	1596155	326	"*"	160	"SRX7054661"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152136
"chr2"	1595831	1596260	430	"*"	184	"SRX7055007"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152031
"chr2"	1595833	1596024	192	"*"	122	"SRX7054619"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152267
"chr2"	1595833	1596257	425	"*"	217	"SRX7054671"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152034
"chr2"	1595835	1595961	127	"*"	113	"SRX5527658"	"ERG"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152330
"chr2"	1595840	1596271	432	"*"	351	"SRX393518"	"TAL1"	"Primary endothelial cells"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152020
"chr2"	1595845	1596008	164	"*"	140	"SRX2207673"	"RELA"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152283
"chr2"	1595851	1596210	360	"*"	131	"SRX393516"	"TAL1"	"Primary endothelial cells"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152081
"chr2"	1595852	1596145	294	"*"	90	"SRX7054611"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152146
"chr2"	1595859	1596323	465	"*"	1000	"SRX7299332"	"TCF21"	"Coronary artery smooth muscle"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	151968
"chr2"	1595859	1596323	465	"*"	1000	"SRX5904135"	"TCF21"	"HCASMC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	151968
"chr2"	1595863	1596140	278	"*"	86	"SRX7054657"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152151
"chr2"	1595900	1596256	357	"*"	400	"SRX699733"	"TCF21"	"HCASMC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152035
"chr2"	1595933	1596290	358	"*"	795	"SRX5146789"	"TCF21"	"HCASMC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152001
"chr2"	1595933	1596290	358	"*"	800	"SRX699732"	"TCF21"	"HCASMC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152001
"chr2"	1595936	1596168	233	"*"	145	"SRX7054617"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152123
"chr2"	1595943	1596088	146	"*"	87	"SRX7054609"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152203
"chr2"	1595977	1596191	215	"*"	129	"SRX7054615"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152100
"chr2"	1595979	1596179	201	"*"	114	"SRX7054613"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152112
"chr2"	1596019	1596209	191	"*"	228	"SRX699734"	"TCF21"	"HCASMC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	152082
"chr2"	1596048	1596324	277	"*"	287	"SRX2671792"	"EP300"	"Cardiac progenitor cells"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	151967
"chr2"	1597462	1597825	364	"*"	355	"SRX7299332"	"TCF21"	"Coronary artery smooth muscle"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	150466
"chr2"	1597462	1597825	364	"*"	355	"SRX5904135"	"TCF21"	"HCASMC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	150466
"chr2"	1597629	1598003	375	"*"	357	"SRX699738"	"JUND"	"HCASMC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	150288
"chr2"	1597658	1597885	228	"*"	86	"SRX2207673"	"RELA"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	150406
"chr2"	1597769	1597999	231	"*"	192	"SRX2671792"	"EP300"	"Cardiac progenitor cells"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	150292
"chr2"	1601482	1601687	206	"*"	95	"SRX4797397"	"LMNA"	"Myocytes, Cardiac"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	146604
"chr2"	1604255	1604545	291	"*"	521	"SRX699738"	"JUND"	"HCASMC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	143746
"chr2"	1604273	1604527	255	"*"	326	"SRX699737"	"JUN"	"HCASMC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	143764
"chr2"	1608617	1608931	315	"*"	154	"SRX5527617"	"EP300"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139360
"chr2"	1608620	1608848	229	"*"	84	"SRX5527609"	"EP300"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139443
"chr2"	1608669	1608855	187	"*"	99	"SRX5527615"	"EP300"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139436
"chr2"	1608690	1609066	377	"*"	186	"SRX425254"	"BRD4"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139225
"chr2"	1608799	1609158	360	"*"	453	"SRX7054657"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139133
"chr2"	1608814	1609162	349	"*"	894	"SRX096362"	"Epitope tags"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139129
"chr2"	1608817	1609163	347	"*"	1000	"SRX2207673"	"RELA"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139128
"chr2"	1608819	1609086	268	"*"	236	"SRX7054661"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139205
"chr2"	1608824	1609094	271	"*"	149	"SRX7055006"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139197
"chr2"	1608827	1609146	320	"*"	1000	"SRX2207672"	"RELA"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139145
"chr2"	1608833	1609069	237	"*"	176	"SRX425263"	"RELA"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139222
"chr2"	1608833	1609079	247	"*"	308	"SRX7054616"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139212
"chr2"	1608834	1609158	325	"*"	661	"SRX393518"	"TAL1"	"Primary endothelial cells"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139133
"chr2"	1608837	1609121	285	"*"	368	"SRX7054617"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139170
"chr2"	1608840	1609111	272	"*"	413	"SRX7054619"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139180
"chr2"	1608842	1609112	271	"*"	288	"SRX2343937"	"EP300"	"Large pulmonary artery endothelial cells"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139179
"chr2"	1608842	1609134	293	"*"	737	"SRX7055007"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139157
"chr2"	1608843	1609128	286	"*"	619	"SRX393516"	"TAL1"	"Primary endothelial cells"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139163
"chr2"	1608848	1609071	224	"*"	215	"SRX425264"	"RELA"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139220
"chr2"	1608848	1609144	297	"*"	430	"SRX7054615"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139147
"chr2"	1608849	1609106	258	"*"	362	"SRX096360"	"Epitope tags"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139185
"chr2"	1608850	1609082	233	"*"	198	"SRX2671799"	"EP300"	"Endothelial Cells"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139209
"chr2"	1608852	1609127	276	"*"	221	"SRX2343934"	"EP300"	"Large pulmonary artery endothelial cells"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139164
"chr2"	1608854	1609089	236	"*"	178	"SRX189743"	"ETS1"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139202
"chr2"	1608854	1609089	236	"*"	178	"SRX2452430"	"ETS1"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139202
"chr2"	1608854	1609089	236	"*"	178	"SRX3599295"	"ETS1"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139202
"chr2"	1608859	1609142	284	"*"	316	"SRX7054663"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139149
"chr2"	1608860	1609156	297	"*"	418	"SRX7054671"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139135
"chr2"	1608861	1609152	292	"*"	280	"SRX2343935"	"EP300"	"Large pulmonary artery endothelial cells"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139139
"chr2"	1608862	1609073	212	"*"	403	"SRX3601960"	"FLI1"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139218
"chr2"	1608863	1609091	229	"*"	299	"SRX7054670"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139200
"chr2"	1608864	1609179	316	"*"	184	"SRX3040158"	"SMC1A"	"Coronary artery endothelial cells"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139112
"chr2"	1608865	1609129	265	"*"	318	"SRX7054666"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139162
"chr2"	1608867	1609100	234	"*"	250	"SRX2250891"	"TFEB"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139191
"chr2"	1608868	1609110	243	"*"	278	"SRX7054662"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139181
"chr2"	1608868	1609121	254	"*"	168	"SRX150664"	"FOS"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139170
"chr2"	1608869	1609045	177	"*"	144	"SRX2671792"	"EP300"	"Cardiac progenitor cells"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139246
"chr2"	1608869	1609132	264	"*"	214	"SRX7054611"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139159
"chr2"	1608874	1609167	294	"*"	149	"SRX070878"	"FOS"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139124
"chr2"	1608875	1609123	249	"*"	335	"SRX7054664"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139168
"chr2"	1608876	1609085	210	"*"	291	"SRX7054618"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139206
"chr2"	1608877	1609074	198	"*"	102	"SRX2343936"	"EP300"	"Large pulmonary artery endothelial cells"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139217
"chr2"	1608878	1609134	257	"*"	360	"SRX7054609"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139157
"chr2"	1608879	1609094	216	"*"	246	"SRX7054614"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139197
"chr2"	1608881	1609086	206	"*"	203	"SRX294971"	"RELA"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139205
"chr2"	1608881	1609100	220	"*"	796	"SRX3601958"	"ERG"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139191
"chr2"	1608882	1609057	176	"*"	127	"SRX7054623"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139234
"chr2"	1608886	1609067	182	"*"	170	"SRX7055004"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139224
"chr2"	1608886	1609091	206	"*"	353	"SRX5527658"	"ERG"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139200
"chr2"	1608887	1609119	233	"*"	230	"SRX7054621"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139172
"chr2"	1608890	1609065	176	"*"	96	"SRX7055002"	"ERG"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139226
"chr2"	1608896	1609045	150	"*"	138	"SRX7054659"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139246
"chr2"	1608896	1609084	189	"*"	96	"SRX7054672"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139207
"chr2"	1608896	1609171	276	"*"	169	"SRX150358"	"JUN"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139120
"chr2"	1608906	1609098	193	"*"	115	"SRX7054665"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139193
"chr2"	1608907	1609047	141	"*"	127	"SRX5527655"	"ERG"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139244
"chr2"	1608910	1609064	155	"*"	151	"SRX7055008"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139227
"chr2"	1608913	1609145	233	"*"	129	"SRX3601957"	"ERG"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139146
"chr2"	1608921	1609089	169	"*"	137	"SRX7054622"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139202
"chr2"	1608937	1609091	155	"*"	110	"SRX7054667"	"RELA"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	139200
"chr2"	1609086	1609424	339	"*"	322	"SRX3040157"	"STAG2"	"Coronary artery endothelial cells"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	138867
"chr2"	1609181	1609466	286	"*"	136	"SRX5527615"	"EP300"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	138825
"chr2"	1609183	1609467	285	"*"	85	"SRX5527609"	"EP300"	"HAEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	138824
"chr2"	1609377	1609844	468	"*"	933	"SRX393516"	"TAL1"	"Primary endothelial cells"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	138447
"chr2"	1609382	1609837	456	"*"	445	"SRX096362"	"Epitope tags"	"HUVEC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	138454
"chr2"	1609391	1609772	382	"*"	251	"SRX7299332"	"TCF21"	"Coronary artery smooth muscle"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	138519
"chr2"	1609391	1609772	382	"*"	251	"SRX5904135"	"TCF21"	"HCASMC"	"Distal Intergenic"	1	1635659	1748291	112633	2	"7837"	138519
